initial_peak_positions,final_peak_positions,initial_peak_intensities,final_peak_intensities,initial_peak_fwhm,initial_left_area,initial_right_area,composition_number,iteration
488.4866232044364,492.1464503394198,4865.330770957187,9443.059191302878,38.74864390825374,96686.21655177516,98753.41059745576,1,2
494.03361914518894,494.6232566372168,7711.832985907078,13832.72789707714,33.48435063171854,141176.67793510592,126676.16163787487,2,2
494.1444346915754,493.3884013093071,8891.617691783697,14776.873704747995,37.1297214487516,179387.9589419728,163506.876014399,3,2
500.1880466808444,498.5105106406658,13740.777763962344,19034.319474897737,39.75540177471642,283933.95656884654,274936.5593332951,4,2
503.4997918493692,504.67742495469776,10448.546084119154,17558.323304212186,30.54958445741165,170933.57929226605,157167.0458030287,5,2
499.8075695224111,500.94569898231,11645.781124333904,25796.48409531228,36.89901692004051,211109.39123119792,225576.6483859443,6,2
501.9671361194152,501.386714212791,9124.757647501652,17487.53959239923,29.4398742878028,135911.9017383455,140916.66933465606,7,2
502.75402430199017,502.9823879292187,12257.78977770296,28617.06584649356,29.725802281099803,184403.69354646248,190919.05621307375,8,2
501.8592069343326,501.6242140524238,9522.215294287467,19710.085267201423,30.10000177994196,144919.62598007833,150645.3669267064,9,2
497.6170131724455,498.149046638425,9616.434900475871,20634.851593566604,38.20962011636704,187753.0190845373,190077.0887489301,10,2
503.5031577124611,502.3791323598932,11655.540285955038,22291.522999432345,29.694248786000497,180951.52455033507,175742.1618913759,11,2
502.50094424430057,502.2538147471362,11990.926061569184,25173.857289338757,29.46694292702041,180629.3377423413,183373.486143615,12,2
503.3333719258181,503.2130668386583,19900.44957838525,26005.73674433999,30.426558735562924,317034.43181728804,307431.9070736718,13,2
501.9636769802142,502.37182874154126,11810.020561464218,27786.437746826607,30.18514980893629,177935.26552971738,189794.67917445785,14,2
497.62979902739386,497.3041257648829,10253.19692037382,20473.314674337355,31.783648253946293,171762.93169791537,165909.64284709605,15,2
498.5421741165148,498.34431826789,8932.743847369697,17071.003789712522,37.0626346103307,166450.00296151848,168112.27351054244,16,2
498.4509438478225,499.05185848750887,10639.607260694249,23987.00299383124,37.6042417288948,204243.6163849886,205437.28721492324,17,2
497.880708480866,497.670862740373,10104.78289813134,19067.04345615051,31.32459307482629,162863.47150930393,165085.45588179465,18,2
501.26518881961965,501.3361869975071,13221.20246600191,28784.638484722585,30.557295984436674,213585.15421836296,203420.0025288914,19,2
501.8561442173122,501.1572130256173,10259.73520504386,20522.92071058965,29.69537367523868,154854.20273789056,159203.150052078,20,2
495.059814385572,495.3589520281975,8743.42880047421,18202.11989327739,32.8729373466665,155730.69913661337,142640.0749786259,21,2
501.41112037846216,501.4176084041258,11236.484062996598,26017.492670921536,30.12595563178735,175651.02832015714,173371.21524716582,22,2
501.706676196197,501.185577561832,10260.858633090833,21495.670558815247,29.40445622708142,153776.07464436238,156870.21047365622,23,2
502.115445119629,501.7338683760934,11924.852909310568,23928.79717706881,29.77272639727651,187596.53195249656,178419.3196074289,24,2
498.7720250119467,498.7232678372456,10190.284332632746,19648.996486758973,31.84540076085556,165876.8080461962,170308.33471501624,25,2
500.8878851679452,500.499736032572,9225.544165389823,17830.11112856039,30.11139201811969,141400.945580874,145426.04135284008,26,2
499.7861543998482,499.8073621886368,10057.497308734795,21929.527190386376,30.96072598312832,158987.72939777275,163160.22939892323,27,2
502.3139842957377,502.31448369694266,9793.24604546961,20822.0396631022,37.73806257499266,182848.7086212958,188024.7834813484,28,2
498.37577292917325,498.2192980204044,9972.525516363392,20179.86912734905,31.44177287083656,166376.64696183466,158405.79713597326,29,2
498.2686608945074,498.2313351844567,10071.73860303684,20737.232344450204,31.253744005970333,167202.96110663336,158612.7524148916,30,2
